x,y,u1,u2,p
0,0.97,-0.08,6.56731e-32,-7.73812
0,0.98,0.12,4.2634e-32,-8.75172
0,0.99,0.48,-8.76884e-33,-9.76531
0,1,1,-8.85354e-32,-10.7789
0.01,0,7.74475e-20,-7.26948e-20,-0.0353055
0.01,0.01,6.70704e-05,-6.70477e-05,-0.0349166
0.01,0.02,5.36669e-05,-5.93389e-05,-0.0345341
0.01,0.03,4.02635e-05,-5.163e-05,-0.0341517
0.01,0.04,2.686e-05,-4.39211e-05,-0.0337693
0.01,0.05,1.34566e-05,-3.62122e-05,-0.0333868
0.01,0.06,4.06155e-05,-0.00010102,-0.032467
0.01,0.07,2.05175e-05,-3.12633e-05,-0.0310318
0.01,0.08,4.19529e-07,3.84934e-05,-0.0295966
0.01,0.09,-1.96784e-05,0.00010825,-0.0281615
0.01,0.1,-3.97764e-05,0.000178007,-0.0267263
0.01,0.11,-1.46304e-05,0.000231178,-0.0257927
0.01,0.12,-3.25053e-05,0.000372656,-0.0242361
0.01,0.13,-5.03802e-05,0.000514134,-0.0226796
0.01,0.14,-6.82551e-05,0.000655611,-0.0211231
0.01,0.15,-8.613e-05,0.000797089,-0.0195666
0.01,0.16,-6.00416e-05,0.000950002,-0.0189101
0.01,0.17,-7.66616e-05,0.00115864,-0.017654
0.01,0.18,-9.32815e-05,0.00136728,-0.016398
0.01,0.19,-0.000109901,0.00157592,-0.0151419
0.01,0.2,-0.000126521,0.00178456,-0.0138858
0.01,0.21,-9.85734e-05,0.00202037,-0.0137416
0.01,0.22,-0.000115071,0.00229351,-0.0129993
0.01,0.23,-0.000131568,0.00256665,-0.012257
0.01,0.24,-0.000148066,0.00283978,-0.0115147
0.01,0.25,-0.000164563,0.00311292,-0.0107724
0.01,0.26,-0.000133665,0.00342566,-0.011334
0.01,0.27,-0.000151267,0.00376514,-0.0112685
0.01,0.28,-0.00016887,0.00410462,-0.0112029
0.01,0.29,-0.000186473,0.00444411,-0.0111374
0.01,0.3,-0.000204075,0.00478359,-0.0110719
0.01,0.31,-0.000169421,0.00517567,-0.0125387
0.01,0.32,-0.000189125,0.0055875,-0.0133192
