x,y,u1,u2,p
0,0.96,0.12,2.55672e-32,-4.20581
0,0.97,0.28,6.63038e-33,-4.46002
0,0.98,0.48,-1.78779e-32,-4.71424
0,0.99,0.72,-4.79574e-32,-4.96845
0,1,1,-8.36084e-32,-5.22266
0.01,0,2.70019e-19,-2.90498e-19,-0.0362992
0.01,0.01,0.000295148,-0.000288656,-0.0354287
0.01,0.02,0.000258539,-0.00022099,-0.0345377
0.01,0.03,0.00022193,-0.000153324,-0.0336467
0.01,0.04,0.00018532,-8.56578e-05,-0.0327557
0.01,0.05,0.000148711,-1.79917e-05,-0.0318647
0.01,0.06,0.000112102,4.96744e-05,-0.0309737
0.01,0.07,7.54923e-05,0.00011734,-0.0300826
0.01,0.08,3.88829e-05,0.000185007,-0.0291916
0.01,0.09,2.27359e-06,0.000252673,-0.0283006
0.01,0.1,-3.43358e-05,0.000320339,-0.0274096
0.01,0.11,0.000100114,0.000238864,-0.0269243
0.01,0.12,6.9353e-05,0.000418445,-0.0255251
0.01,0.13,3.85923e-05,0.000598027,-0.0241259
0.01,0.14,7.83156e-06,0.000777609,-0.0227268
0.01,0.15,-2.29292e-05,0.000957191,-0.0213276
0.01,0.16,-5.36899e-05,0.00113677,-0.0199284
0.01,0.17,-8.44506e-05,0.00131635,-0.0185293
0.01,0.18,-0.000115211,0.00149594,-0.0171301
0.01,0.19,-0.000145972,0.00167552,-0.015731
0.01,0.2,-0.000176733,0.0018551,-0.0143318
0.01,0.21,-1.03956e-05,0.0021336,-0.0150091
0.01,0.22,-4.15468e-05,0.00242818,-0.0146844
0.01,0.23,-7.2698e-05,0.00272277,-0.0143596
0.01,0.24,-0.000103849,0.00301736,-0.0140349
0.01,0.25,-0.000135,0.00331195,-0.0137102
0.01,0.26,-0.000166152,0.00360654,-0.0133854
0.01,0.27,-0.000197303,0.00390112,-0.0130607
0.01,0.28,-0.000228454,0.00419571,-0.0127359
0.01,0.29,-0.000259605,0.0044903,-0.0124112
0.01,0.3,-0.000290756,0.00478489,-0.0120864
0.01,0.31,-9.92843e-05,0.00532473,-0.0145661
0.01,0.32,-0.000137888,0.00575034,-0.0159976
0.01,0.33,-0.000176492,0.00617595,-0.0174292
0.01,0.34,-0.000215095,0.00660156,-0.0188608
0.01,0.35,-0.000253699,0.00702717,-0.0202924
0.01,0.36,-0.000292302,0.00745278,-0.0217239
0.01,0.37,-0.000330906,0.0078784,-0.0231555
0.01,0.38,-0.00036951,0.00830401,-0.0245871
0.01,0.39,-0.000408113,0.00872962,-0.0260187
0.01,0.4,-0.000446717,0.00915523,-0.0274502
0.01,0.41,-0.000191921,0.0100229,-0.0328777
0.01,0.42,-0.000239261,0.0106151,-0.0367396
0.01,0.43,-0.000286602,0.0112073,-0.0406015
0.01,0.44,-0.000333942,0.0117995,-0.0444635
0.01,0.45,-0.000381282,0.0123917,-0.0483254
0.01,0.46,-0.000428623,0.0129839,-0.0521874
0.01,0.47,-0.000475963,0.0135761,-0.0560493
0.01,0.48,-0.000523303,0.0141683,-0.0599112
0.01,0.49,-0.000570644,0.0147605,-0.0637732
0.01,0.5,-0.000617984,0.0153528,-0.0676351
0.01,0.51,-0.000527532,0.0170047,-0.0779544
0.01,0.52,-0.000606061,0.0177709,-0.0875602
0.01,0.53,-0.00068459,0.018537,-0.097166
0.01,0.54,-0.000763119,0.0193031,-0.106772
0.01,0.55,-0.000841649,0.0200693,-0.116378
0.01,0.56,-0.000920178,0.0208354,-0.125983
0.01,0.57,-0.000998707,0.0216016,-0.135589
0.01,0.58,-0.00107724,0.0223677,-0.145195
0.01,0.59,-0.00115577,0.0231338,-0.154801
0.01,0.6,-0.00123429,0.0239,-0.164406
0.01,0.61,-0.0015362,0.0266241,-0.180895
0.01,0.62,-0.00156248,0.0277181,-0.200053
0.01,0.63,-0.00158876,0.0288121,-0.219211
0.01,0.64,-0.00161503,0.0299061,-0.238369
0.01,0.65,-0.00164131,0.0310001,-0.257526
0.01,0.66,-0.00166758,0.0320941,-0.276684
0.01,0.67,-0.00169386,0.0331881,-0.295842
0.01,0.68,-0.00172014,0.0342822,-0.315
0.01,0.69,-0.00174641,0.0353762,-0.334157
0.01,0.7,-0.00177269,0.0364702,-0.353315
0.01,0.71,0.000590152,0.0397315,-0.392524
0.01,0.72,0.000579605,0.0410408,-0.405615
0.01,0.73,0.000569059,0.0423501,-0.418707
0.01,0.74,0.000558513,0.0436594,-0.431798
0.01,0.75,0.000547966,0.0449687,-0.444889
0.01,0.76,0.00053742,0.046278,-0.45798
0.01,0.77,0.000526874,0.0475873,-0.471072
0.01,0.78,0.000516327,0.0488966,-0.484163
0.01,0.79,0.000505781,0.0502059,-0.497254
0.01,0.8,0.000495234,0.0515152,-0.510346
0.01,0.81,-0.022455,0.079236,-0.567935
0.01,0.82,-0.0222466,0.0774394,-0.787912
0.01,0.83,-0.0220381,0.0756429,-1.00789
0.01,0.84,-0.0218297,0.0738463,-1.22787
0.01,0.85,-0.0216212,0.0720497,-1.44785
0.01,0.86,-0.0214127,0.0702532,-1.66782
0.01,0.87,-0.0212043,0.0684566,-1.8878
0.01,0.88,-0.0209958,0.0666601,-2.10778
0.01,0.89,-0.0207874,0.0648635,-2.32776
0.01,0.9,-0.0205789,0.063067,-2.54773
0.01,0.91,-0.0243364,0.0556635,-2.52517
0.01,0.92,-0.0705212,0.0494787,-2.77938
0.01,0.93,-0.0767061,0.0432938,-3.03359
0.01,0.94,-0.0428909,0.037109,-3.28781
0.01,0.95,0.0309242,0.0309242,-3.54202
0.01,0.96,0.144739,0.0247393,-3.79623
0.01,0.97,0.298555,0.0185545,-4.05044
0.01,0.98,0.49237,0.0123697,-4.30466
0.01,0.99,0.726185,0.00618483,-4.55887
0.01,1,1,-1.20329e-31,-4.81308
0.02,0,4.24016e-19,-5.20859e-19,-0.0371735
0.02,0.01,0.000228266,-0.000253989,-0.0363029
0.02,0.02,0.000424206,-0.000415446,-0.0354324
0.02,0.03,0.000350987,-0.000280114,-0.0345414
0.02,0.04,0.000277768,-0.000144782,-0.0336504
0.02,0.05,0.00020455,-9.44978e-06,-0.0327594
0.02,0.06,0.000131331,0.000125882,-0.0318684
0.02,0.07,5.81123e-05,0.000261215,-0.0309774
0.02,0.08,-1.51064e-05,0.000396547,-0.0300864
0.02,0.09,-8.83251e-05,0.000531879,-0.0291953
0.02,0.1,-0.000161544,0.000667211,-0.0283043
0.02,0.11,-0.000107972,0.000698253,-0.027819
0.02,0.12,-4.48661e-05,0.000822483,-0.0273337
0.02,0.13,-0.000106388,0.00118165,-0.0259345
0.02,0.14,-0.000167909,0.00154081,-0.0245353
0.02,0.15,-0.00022943,0.00189997,-0.0231362
0.02,0.16,-0.000290952,0.00225914,-0.021737
0.02,0.17,-0.000352473,0.0026183,-0.0203378
0.02,0.18,-0.000413995,0.00297746,-0.0189387
0.02,0.19,-0.000475516,0.00333663,-0.0175395
0.02,0.2,-0.000537038,0.00369579,-0.0161403
0.02,0.21,-0.000449218,0.00415375,-0.0168177
0.02,0.22,-0.000362497,0.00470077,-0.017495
0.02,0.23,-0.000424799,0.00528994,-0.0171703
0.02,0.24,-0.000487101,0.00587912,-0.0168455
0.02,0.25,-0.000549404,0.00646829,-0.0165208
0.02,0.26,-0.000611706,0.00705747,-0.016196
